block,transect,initial,current_plot_type,dispersal_treatment,seeding_trt,ntrcy_germ,ngoro_germ,ntror_germ,ntrcy_plants,ngoro_plants,ntror_plants,ntrcy_biomass,ngoro_biomass,ntror_biomass,ntrcy_seeds,ngoro_seeds,ntror_seeds,physical_barrier,wt_percapita_trcy,wt_max15_trcy,wt_percapita_goro,wt_max15_goro,wt_percapita_tror,wt_max15_tror,ntrcy_tot,ngoro_tot,ntror_tot,notes,to-do,tree fallen,tree cleared
4,4.32,open,open_with_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.11,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.5,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.6,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.8,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.15,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.thirty,log,insitu_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.12,log,insitu_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,branches fallen over plot but not on the ground (approx 1m above),,,
5,5.16,log,insitu_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.03,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,log moved slightly,,,
5,5.22,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.25,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.twenty,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.18,open,open_with_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,small branch over plot removed. Nail missing assumed 20cm based on present nail. ,,yes,yes
5,5.32,open,open_with_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.26,open,open_with_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
5,5.29,open,open_with_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.03,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.6,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.8,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.ten,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,branch over plot but not touching; left as is. ,,,
6,6.12,log,insitu_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,branch over plot removed. Hiding behind big fallen tree.,,yes,yes?
6,6.16,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.13,log,insitu_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
6,6.14,log,insitu_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.19,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
6,6.22,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.27,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,branch over plot removed,,yes,yes
6,6.32,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.29,open,open_with_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.twenty,open,open_with_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
6,6.25,open,open_with_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,approximately 3 meters NE of plot 6.8,,yes,yes
6,6.thirty,open,open_with_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.4,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.5,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.7,log,gap,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,branch over plot removed,,yes,yes
7,7.9,log,gap,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
7,7.12,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,yes,yes
7,7.14,log,insitu_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.15,log,insitu_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.03,log,insitu_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,tree fell but not actually touching plot,,yes,no
7,7.23,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.28,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.32,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,branch over plot removed,,yes,yes
7,7.thirty,open,open,NA,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.19,open,open_with_log,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,
7,7.27,open,open_with_log,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,"log moved slightly; put back in place. One nail missing, assumed 20cm",,,
7,7.21,open,open_with_pvc,after,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,lots of leaf litter ,,,
7,7.25,open,open_with_pvc,before,0,NA,NA,NA,,,,,,,,,,,,,,,,,,,,one nail super buried,,,
